                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.008,                 4.1457,                 4.1366,                0.00066,                0.04395,                0.00044,                0.00016,                 3.8061,                 4.3542,                 4.1711,             0.00064957,             0.00064957,             0.00064957
                      2,                 3.3436,                 3.4376,                 3.5008,                0.00112,                0.02357,                0.00086,                 0.0003,                  3.903,                  4.164,                 4.2959,              0.0012728,              0.0012728,              0.0012728
                      3,                  2.998,                 3.0966,                 3.0219,                0.05327,                0.04395,                0.01157,                0.00394,                 3.1877,                 3.8037,                 3.7532,               0.001852,               0.001852,               0.001852
                      4,                 2.9128,                 2.8648,                 2.7935,                0.11308,                0.09549,                0.03435,                0.01058,                   2.99,                 3.2554,                 3.5511,               0.001802,               0.001802,               0.001802
                      5,                  2.665,                 2.5926,                 2.5503,                0.22997,                0.17259,                 0.1191,                0.04235,                 2.4638,                 2.8253,                  2.574,               0.001802,               0.001802,               0.001802
                      6,                 2.4483,                 2.3615,                 2.3795,                0.41049,                0.18498,                0.18194,                0.07805,                 2.3859,                 2.5099,                 2.5667,               0.001736,               0.001736,               0.001736
                      7,                 2.3098,                 2.1398,                 2.2178,                 0.4268,                0.23917,                0.24815,                0.11677,                 2.1173,                 2.2316,                 2.1325,                0.00167,                0.00167,                0.00167
                      8,                  2.178,                 1.9564,                 2.0973,                0.57301,                0.29205,                0.32158,                0.15661,                 2.1274,                 2.0279,                 2.1784,               0.001604,               0.001604,               0.001604
                      9,                 2.1599,                 1.8858,                 2.0481,                0.61957,                0.32481,                0.37182,                0.18154,                 1.9938,                 1.8481,                 2.0445,               0.001538,               0.001538,               0.001538
                     10,                 2.0271,                 1.7573,                 1.9479,                0.65281,                0.36876,                0.41652,                0.20973,                 1.9278,                 1.7202,                 1.9474,               0.001472,               0.001472,               0.001472
                     11,                  1.997,                 1.6851,                 1.8938,                0.66847,                0.36573,                0.42474,                0.22491,                 1.8823,                  1.711,                 1.9038,               0.001406,               0.001406,               0.001406
                     12,                 1.9461,                 1.6126,                 1.8536,                0.60613,                0.39287,                0.43838,                0.23045,                 1.8451,                 1.6603,                 1.8643,                0.00134,                0.00134,                0.00134
                     13,                 1.8938,                  1.583,                 1.8167,                0.73447,                 0.4155,                0.48063,                0.24984,                 1.8258,                 1.6282,                 1.8835,               0.001274,               0.001274,               0.001274
                     14,                 1.9025,                 1.5575,                 1.8051,                 0.7316,                0.45146,                0.51759,                0.27135,                  1.766,                 1.5039,                 1.7711,               0.001208,               0.001208,               0.001208
                     15,                 1.8105,                 1.4583,                 1.7651,                0.78263,                0.45505,                0.53977,                 0.2775,                 1.7872,                 1.4743,                  1.823,               0.001142,               0.001142,               0.001142
                     16,                 1.7907,                 1.4204,                 1.7317,                0.81208,                0.46616,                0.55032,                 0.2962,                 1.7049,                 1.3531,                 1.7204,               0.001076,               0.001076,               0.001076
                     17,                 1.7908,                 1.4076,                 1.7146,                0.78946,                0.47982,                0.55943,                0.29639,                 1.7164,                 1.3731,                 1.7118,                0.00101,                0.00101,                0.00101
                     18,                 1.7725,                 1.3752,                 1.6779,                0.76886,                 0.4678,                0.54584,                0.29721,                 1.7002,                 1.3518,                 1.7239,               0.000944,               0.000944,               0.000944
                     19,                 1.7365,                   1.35,                 1.6814,                0.82393,                0.48861,                0.57204,                0.31506,                 1.6982,                 1.3551,                  1.697,               0.000878,               0.000878,               0.000878
                     20,                  1.747,                 1.3044,                 1.6576,                0.81237,                 0.4974,                0.58467,                0.32291,                 1.6373,                  1.268,                 1.6663,               0.000812,               0.000812,               0.000812
                     21,                 1.6874,                 1.4275,                 1.6702,                0.78294,                0.45545,                0.55106,                0.30638,                 1.6836,                 1.4235,                 1.6862,               0.000746,               0.000746,               0.000746
                     22,                 1.6913,                 1.3687,                 1.6596,                0.76114,                0.48462,                0.56497,                 0.3163,                 1.6484,                 1.2916,                 1.6563,                0.00068,                0.00068,                0.00068
                     23,                 1.6604,                 1.3021,                  1.624,                0.81002,                0.51298,                0.59972,                0.34005,                 1.6144,                 1.2254,                 1.6029,               0.000614,               0.000614,               0.000614
                     24,                 1.6218,                 1.2605,                 1.5912,                0.82775,                0.51262,                0.60158,                0.34192,                 1.5799,                  1.246,                 1.5814,               0.000548,               0.000548,               0.000548
                     25,                 1.6181,                 1.2443,                 1.5813,                0.81792,                0.53304,                0.61679,                0.35206,                   1.56,                 1.1878,                 1.5671,               0.000482,               0.000482,               0.000482
                     26,                 1.6165,                 1.2254,                 1.5763,                0.80497,                0.53216,                0.61879,                 0.3573,                 1.5616,                 1.1754,                  1.567,               0.000416,               0.000416,               0.000416
                     27,                  1.583,                 1.1912,                 1.5613,                0.83051,                0.54618,                0.63098,                0.36379,                 1.5533,                 1.1483,                 1.5485,                0.00035,                0.00035,                0.00035
                     28,                 1.5888,                 1.1885,                  1.559,                0.80235,                0.55254,                0.62923,                0.36154,                 1.5547,                 1.1434,                 1.5484,               0.000284,               0.000284,               0.000284
                     29,                 1.5739,                 1.1806,                 1.5558,                0.82938,                0.54774,                0.63874,                0.37436,                 1.5094,                 1.1095,                  1.521,               0.000218,               0.000218,               0.000218
                     30,                 1.5518,                 1.1573,                 1.5236,                 0.8386,                0.55214,                0.64356,                0.37764,                 1.5041,                 1.0928,                 1.5216,               0.000152,               0.000152,               0.000152
